Materials,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,,
Products - Paper and Paperboard,29990000,44310000,55160000,72730000,87740000,84840000,71310000,69950000,68620000,68550000,68610000,68050000,67480000,67010000,67390000,,
Products - Glass,6720000,12740000,15130000,13100000,12770000,12540000,11520000,11490000,11590000,11540000,11480000,11470000,12610000,12300000,12250000,,
Products - Metals - Ferrous,10300000,12360000,12620000,12640000,14150000,15210000,16920000,16650000,16940000,17720000,17880000,18190000,18690000,18890000,19200000,,
Products - Metals - Aluminum,340000,800000,1730000,2810000,3190000,3330000,3510000,3520000,3510000,3500000,3560000,3670000,3770000,3820000,3890000,,
Products - Metals - OtherNonferrous,180000,670000,1160000,1100000,1600000,1860000,2020000,2020000,1980000,2010000,2020000,2010000,2300000,2510000,2510000,,
Products - Metals - Total,10820000,13830000,15510000,16550000,18940000,20400000,22450000,22190000,22430000,23230000,23460000,23870000,24760000,25220000,25600000,,
Products - Plastics,390000,2900000,6830000,17130000,25550000,29380000,31400000,32100000,32070000,32730000,33340000,34480000,34910000,35410000,35680000,,
Products - Rubber and Leather,1840000,2970000,4200000,5790000,6670000,7290000,7750000,8010000,8100000,8350000,8210000,8560000,9200000,9110000,9160000,,
Products - Textiles,1760000,2040000,2530000,5810000,9480000,11510000,13220000,13690000,14480000,14840000,15240000,16060000,16880000,16890000,17030000,,
Products - Wood,3030000,3720000,7010000,12210000,13570000,14790000,15710000,15780000,15820000,15770000,16120000,16300000,18440000,18200000,18090000,,
Products - Other,70000,770000,2520000,3190000,4000000,4290000,4710000,4870000,4890000,4870000,4800000,4880000,4550000,4630000,4560000,,
Products - Total Materials,54620000,83280000,108890000,146510000,178720000,185040000,178070000,178080000,178000000,179880000,181260000,183670000,188830000,188770000,189760000,,
Other Wastes - Food Waste,12200000,12800000,13000000,23860000,30700000,32930000,35740000,36310000,36430000,37060000,38670000,39730000,40310000,40670000,63130000,,
Other Wastes - Yard Trimmings,20000000,23200000,27500000,35000000,30530000,32070000,33400000,33710000,33960000,34200000,34500000,34720000,34950000,35180000,35400000,,
Other Wastes - Miscellaneous Inorganic Wastes,1300000,1780000,2250000,2900000,3500000,3690000,3840000,3870000,3900000,3930000,3970000,3990000,4020000,4040000,4070000,,
Other Wastes - Total,33500000,37780000,42750000,61760000,64730000,68690000,72980000,73890000,74290000,75190000,77140000,78440000,79280000,79890000,102600000,,
Total MSW Generated - Weight,88120000,121060000,151640000,208270000,243450000,253730000,251050000,251970000,252290000,255070000,258400000,262110000,268110000,268660000,292360000,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 1 Materials Generated in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,,,
