Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Products - Durable Goods - Major Appliances,1630000,2170000,2950000,3310000,3640000,3610000,4020000,4080000,4190000,4470000,4650000,4860000,5030000,5160000,5250000,
Products - Durable Goods - Small Appliances,0,0,0,460000,1040000,1180000,1830000,1900000,1950000,1960000,2010000,2050000,2090000,2120000,2160000,
Products - Durable Goods - Furniture and Furnishings,2150000,2830000,4760000,6790000,8120000,9340000,10820000,11130000,11500000,11620000,11860000,12050000,12210000,12210000,12080000,
Products - Durable Goods - Carpets and Rugs,0,0,0,1660000,2460000,2960000,3720000,3830000,3860000,3820000,3730000,3630000,3510000,3390000,3370000,
Products - Durable Goods - Rubber Tires,1120000,1890000,2720000,3610000,4930000,4910000,5130000,5390000,5540000,5760000,5560000,5970000,6830000,6540000,6530000,
"Products - Durable Goods - Batteries, Lead-Acid",0,820000,1490000,1510000,2280000,2750000,3020000,3000000,2890000,2840000,2810000,2700000,2650000,2940000,2900000,
Products - Durable Goods - Miscellaneous Durables - Selected Consumer Electronics,0,0,0,0,1900000,2630000,3120000,3210000,3310000,3360000,3360000,3100000,2990000,2840000,2700000,
Products - Durable Goods - Miscellaneous Durables - Other Miscellaneous Durables,0,0,0,0,14500000,17680000,17690000,17830000,17650000,18680000,18690000,19580000,20550000,21670000,22110000,
Products - Durable Goods - Miscellaneous Durables -- Total,5020000,6950000,9880000,12470000,16400000,20310000,20810000,21040000,20960000,22040000,22050000,22680000,23540000,24510000,24810000,
Products - Durable Goods - Total,9920000,14660000,21800000,29810000,38870000,45060000,49350000,50370000,50890000,52510000,52670000,53940000,55860000,56870000,57100000,
Products - Nondurable Goods,17330000,25060000,34420000,52170000,64010000,63650000,53250000,52370000,51880000,51600000,51730000,51810000,52020000,50700000,50440000,
Products - Containers and Packaging,27370000,43560000,52670000,64530000,75840000,76330000,75470000,75340000,75230000,75770000,76860000,77920000,80950000,81200000,82220000,
Products - Wastes - Total,54620000,83280000,108890000,146510000,178720000,185040000,178070000,178080000,178000000,179880000,181260000,183670000,188830000,188770000,189760000,
Other Wastes - Food Waste,12200000,12800000,13000000,23860000,30700000,32930000,35740000,36310000,36430000,37060000,38670000,39730000,40310000,40670000,63130000,
Other Wastes - Yard Trimmings,20000000,23200000,27500000,35000000,30530000,32070000,33400000,33710000,33960000,34200000,34500000,34720000,34950000,35180000,35400000,
Other Wastes - Miscellaneous Inorganic Wastes,1300000,1780000,2250000,2900000,3500000,3690000,3840000,3870000,3900000,3930000,3970000,3990000,4020000,4040000,4070000,
Other Wastes - Total,33500000,37780000,42750000,61760000,64730000,68690000,72980000,73890000,74290000,75190000,77140000,78440000,79280000,79890000,102600000,
Total MSW Generated - Weight,88120000,121060000,151640000,208270000,243450000,253730000,251050000,251970000,252290000,255070000,258400000,262110000,268110000,268660000,292360000,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 14. Products Generated with Detail on Durables in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,,
