Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
Products - Durable Goods - Major Appliances,10000,50000,130000,1070000,2000000,2420000,2610000,2620000,2680000,2620000,2710000,3000000,3060000,3110000,3140000
Products - Durable Goods - Small Appliances,0,0,0,10000,20000,20000,120000,120000,120000,120000,120000,120000,120000,120000,120000
Products - Durable Goods - Furniture and Furnishings,0,0,0,0,0,0,10000,10000,10000,10000,10000,10000,30000,40000,40000
Products - Durable Goods - Carpets and Rugs,0,0,0,0,190000,250000,270000,270000,290000,240000,210000,190000,230000,280000,310000
Products - Durable Goods - Rubber Tires,330000,250000,150000,440000,1290000,1640000,2270000,2370000,2330000,2330000,2250000,2410000,2750000,2610000,2610000
"Products - Durable Goods - Batteries, Lead-Acid",0,620000,1040000,1470000,2130000,2640000,2980000,2970000,2860000,2810000,2780000,2670000,2630000,2910000,2870000
Products - Durable Goods - Miscellaneous Durables - Selected Consumer Electronics,0,0,0,0,190000,360000,650000,850000,1000000,1270000,1400000,1230000,1070000,1020000,1040000
Products - Durable Goods - Miscellaneous Durables - Other Miscellaneous Durables,0,0,0,0,760000,640000,480000,370000,240000,240000,240000,250000,460000,460000,440000
Products - Durable Goods - Miscellaneous Durables -- Total,10000,20000,40000,470000,950000,1000000,1130000,1220000,1240000,1510000,1640000,1480000,1530000,1480000,1480000
Products - Durable Goods - Total,350000,940000,1360000,3460000,6580000,7970000,9390000,9580000,9530000,9640000,9720000,9880000,10350000,10550000,10570000
Products - Nondurable Goods,2390000,3730000,4670000,8800000,17560000,19770000,19190000,18830000,17180000,16250000,16820000,16190000,16820000,16290000,14190000
Products - Containers and Packaging,2870000,3350000,8490000,16780000,28870000,31500000,36680000,38280000,38760000,39050000,39610000,41490000,41370000,40140000,44330000
Products - Wastes - Total,5610000,8020000,14520000,29040000,53010000,59240000,65260000,66690000,65470000,64940000,66150000,67560000,68540000,66980000,69090000
Other Wastes – Food Waste Composted,0,0,0,0,680000,690000,970000,1270000,1740000,1840000,1940000,2100000,2150000,2570000,2590000
Other Wastes – Yard Trimmings Composted,0,0,0,4200000,15770000,19860000,19200000,19300000,19590000,20600000,21080000,21290000,22960000,24420000,22300000
Other Wastes – Miscellaneous Inorganic Wastes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Wastes – Total Composted,0,0,0,4200000,16450000,20550000,20170000,20570000,21330000,22440000,23020000,23390000,25110000,26990000,24890000
Food - animal feed,,,,,,,,,,,,,,,1820000
Food - bio-based materials/biochemical processing,,,,,,,,,,,,,,,1840000
Food – codigestion/anaerobic digestion,,,,,,,,,,,,,,,5260000
Food - donation,,,,,,,,,,,,,,,4790000
Food - land application,,,,,,,,,,,,,,,260000
Food - sewer/wastewater treatment,,,,,,,,,,,,,,,3740000
Total Other Food Management,,,,,,,,,,,,,,,17710000
Total MSW Recycled and Composted - Weight,5610000,8020000,14520000,33240000,69460000,79790000,85430000,87260000,86800000,87380000,89170000,90950000,93650000,93970000,93980000
"Total MSW Recycled, Composted and Other Food Management - Weight",5610000,8020000,14520000,33240000,69460000,79790000,85430000,87260000,86800000,87380000,89170000,90950000,93650000,93970000,111690000
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 15. Products Recycled, Composted and Managed by Other Food Pathways with Detail on Durables in the Municipal Solid Waste Stream, 1960 TO 2018 (in tons)",,,,,,,,,,,,,,,
