Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Products - Durable Goods - Major Appliances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products - Durable Goods - Small Appliances,0,0,0,90000,200000,200000,310000,340000,360000,370000,370000,380000,380000,390000,400000,
Products - Durable Goods - Furniture and Furnishings,0,0,90000,1150000,1570000,1700000,1910000,2160000,2270000,2300000,2320000,2350000,2380000,2380000,2360000,
Products - Durable Goods - Carpets and Rugs,0,0,0,290000,440000,490000,610000,700000,710000,710000,690000,670000,640000,610000,600000,
Products - Durable Goods - Rubber Tires,0,0,30000,400000,2260000,2390000,2000000,2040000,2580000,3190000,3080000,2840000,3040000,2710000,2710000,
"Products - Durable Goods - Batteries, Lead-Acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products - Durable Goods - Miscellaneous Durables - Selected Consumer Electronics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products - Durable Goods - Miscellaneous Durables - Other Miscellaneous Durables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products - Durable Goods - Miscellaneous Durables -- Total,0,60000,320000,2550000,1790000,1970000,2240000,2710000,2230000,1920000,1960000,2400000,2480000,2990000,3050000,
Products - Durable Goods - Total,0,60000,440000,4480000,6260000,6750000,7070000,7950000,8150000,8490000,8420000,8640000,8920000,9080000,9120000,
Products - Nondurable Goods,0,90000,580000,7380000,9000000,7980000,6030000,6540000,6840000,7000000,6850000,6960000,6880000,6720000,7090000,
Products - Containers and Packaging,0,150000,880000,8110000,9110000,8160000,6870000,7230000,7180000,7270000,7310000,7160000,7750000,8050000,7420000,
Products - Wastes - Total,0,300000,1900000,19970000,24370000,22890000,19970000,21720000,22170000,22760000,22580000,22760000,23550000,23850000,23630000,
Other Wastes - Food Waste,0,50000,260000,4060000,5820000,5870000,6150000,6830000,6830000,6970000,7200000,7380000,7480000,7470000,7550000,
Other Wastes - Yard Trimmings,0,90000,550000,5240000,2860000,2220000,2510000,2810000,2830000,2690000,2630000,2630000,2350000,2110000,2570000,
Other Wastes - Miscellaneous Inorganic Wastes,0,10000,50000,490000,680000,670000,680000,750000,770000,780000,780000,780000,790000,790000,800000,
Other Wastes - Total,0,150000,860000,9790000,9360000,8760000,9340000,10390000,10430000,10440000,10610000,10790000,10620000,10370000,10920000,
Total MSW Combusted - Weight,0,450000,2760000,29760000,33730000,31650000,29310000,32110000,32600000,33200000,33190000,33550000,34170000,34220000,34550000,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 16. Products Combusted with Energy Recovery with Detail on Durables in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
The amounts of consumer electronics going to combustion with energy recovery are not available and are included in Total Miscellaneous Durables. ,,,,,,,,,,,,,,,,
