Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,
Products - Durable Goods - Major Appliances,1620000,2120000,2820000,2240000,1640000,1190000,1410000,1460000,1510000,1850000,1940000,1860000,1970000,2050000,2110000,,,,
Products - Durable Goods - Small Appliances,0,0,0,360000,820000,960000,1400000,1440000,1470000,1470000,1520000,1550000,1590000,1610000,1640000,,,,
Products - Durable Goods - Furniture and Furnishings,2150000,2830000,4670000,5640000,6550000,7640000,8900000,8960000,9220000,9310000,9530000,9690000,9800000,9790000,9680000,,,,
Products - Durable Goods - Carpets and Rugs,0,0,0,1370000,1830000,2220000,2840000,2860000,2860000,2870000,2830000,2770000,2640000,2500000,2460000,,,,
Products - Durable Goods - Rubber Tires,790000,1640000,2540000,2770000,1380000,880000,860000,980000,630000,240000,230000,720000,1040000,1220000,1210000,,,,
"Products - Durable Goods - Batteries, Lead-Acid",0,200000,450000,40000,150000,110000,40000,30000,30000,30000,30000,30000,20000,30000,30000,,,,
Products - Durable Goods - Miscellaneous Durables - Selected Consumer Electronics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Products - Durable Goods - Miscellaneous Durables - Other Miscellaneous Durables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Products - Durable Goods - Miscellaneous Durables -- Total,5010000,6870000,9520000,9450000,13660000,17340000,17440000,17110000,17490000,18610000,18450000,18800000,19530000,20040000,20280000,,,,
Products - Durable Goods - Total,9570000,13660000,20000000,21870000,26030000,30340000,32890000,32840000,33210000,34380000,34530000,35420000,36590000,37240000,37410000,,,,
Products - Nondurable Goods,14940000,21240000,29170000,35990000,37450000,35900000,28030000,27000000,27860000,28350000,28060000,28660000,28320000,27690000,29160000,,,,
Products - Containers and Packaging,24500000,40060000,43300000,39640000,37860000,36670000,31920000,29830000,29290000,29450000,29940000,29270000,31830000,33010000,30470000,,,,
Products - Wastes - Total,49010000,74960000,92470000,97500000,101340000,102910000,92840000,89670000,90360000,92180000,92530000,93350000,96740000,97940000,97040000,,,,
Other Wastes - Food Waste,12200000,12750000,12740000,19800000,24200000,26370000,28620000,28210000,27860000,28250000,29530000,30250000,30680000,30630000,35280000,,,,
Other Wastes - Yard Trimmings,20000000,23110000,26950000,25560000,11900000,9990000,11690000,11600000,11540000,10910000,10790000,10800000,9640000,8650000,10530000,,,,
Other Wastes - Miscellaneous Inorganic Wastes,1300000,1770000,2200000,2410000,2820000,3020000,3160000,3120000,3130000,3150000,3190000,3210000,3230000,3250000,3270000,,,,
Other Wastes - Total,33500000,37630000,41890000,47770000,38920000,39380000,43470000,42930000,42530000,42310000,43510000,44260000,43550000,42530000,49080000,,,,
Total MSW Landfilled – Weight ,82510000,112590000,134360000,145270000,140260000,142290000,136310000,132600000,132890000,134490000,136040000,137610000,140290000,140470000,146120000,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 17. Products landfilled with Detail on Durables in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The amount of consumer electronics going to combustion with energy recovery versus landfilling are not available. These products are included in Total Miscellaneous Durables. ,,,,,,,,,,,,,,,,,,,
