Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Products - Durable Goods,9920000,14660000,21800000,29810000,38870000,45060000,49350000,50370000,50890000,52510000,52670000,53940000,55860000,56870000,57100000,
Products - Nondurable goods – Newspapers/Mechanical Papers,7110000,9510000,11050000,13430000,14790000,12790000,9880000,9150000,8380000,8050000,7620000,6730000,6260000,5440000,5050000,
Products – Nondurable goods - Directories,0,0,0,610000,680000,660000,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – books and magazines,1920000,2470000,3390000,0,0,0,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – books,0,0,0,970000,1240000,1100000,990000,930000,860000,850000,830000,800000,760000,700000,690000,
Products – Nondurable goods – Other paper nondurable goods – magazines,0,0,0,2830000,2230000,2580000,1590000,1510000,1470000,1410000,1260000,1190000,1120000,1020000,980000,
Products -  Nondurable goods – Other paper nondurable goods – office-type papers,1520000,2650000,4000000,6410000,7420000,6620000,5260000,5100000,4750000,4770000,4530000,4530000,4270000,3970000,3970000,
Products -  Nondurable goods – Other paper nondurable goods – marketing mail,0,0,0,3820000,5570000,5830000,4340000,4380000,4150000,4150000,4050000,4050000,3980000,3790000,3670000,
Products – Nondurable goods – Other paper nondurable goods – other commercial printing,1260000,2130000,3120000,4460000,7380000,6440000,2480000,2010000,2130000,1870000,2190000,2080000,2080000,1960000,2000000,
Products – Nondurable goods – Other paper nondurable goods – tissue paper and towels,1090000,2080000,2300000,2960000,3220000,3460000,3490000,3510000,3510000,3620000,3640000,3680000,3770000,3750000,3790000,
Products – Nondurable goods – Other paper nondurable goods – paper plates and cups,270000,420000,630000,650000,960000,1160000,1350000,1340000,1290000,1320000,1380000,1360000,1430000,1440000,1420000,
Products – Nondurable goods – Other paper nondurable goods – other nonpackaging paper,2700000,3630000,4230000,3840000,4250000,4490000,4190000,3940000,4010000,3940000,3970000,3700000,3820000,3880000,3920000,
Products – Nondurable goods – Other paper nondurable goods – Total,8760000,13380000,17670000,25940000,32270000,31680000,23690000,22720000,22170000,21930000,21850000,21390000,21230000,20510000,20440000,
Products – Nondurable goods – Disposable Diapers,0,350000,1930000,2700000,3230000,3410000,3700000,3980000,4060000,4080000,4000000,4170000,4180000,4150000,4100000,
Products – Nondurable goods – Plastic Plates and Cups,0,0,190000,650000,870000,930000,890000,1030000,1060000,1010000,1020000,1050000,1070000,1080000,1030000,
Products – Nondurable goods – Trash Bags,0,0,0,780000,850000,1060000,980000,1010000,1020000,980000,1000000,1130000,1120000,1140000,1230000,
Products – Nondurable goods – Clothing and Footwear,1360000,1620000,2170000,4010000,6470000,7890000,9100000,9500000,10290000,10640000,11170000,11940000,12680000,12800000,12970000,
"Products – Nondurable goods – Towels, Sheets and Pillowcases",0,0,0,710000,820000,980000,1290000,1310000,1290000,1280000,1270000,1350000,1400000,1470000,1520000,
Products – Nondurable goods – Other Miscellaneous Nondurables,100000,200000,1410000,3340000,4030000,4250000,3720000,3670000,3610000,3630000,3800000,4050000,4080000,4110000,4100000,
Products – Nondurable goods – Total,17330000,25060000,34420000,52170000,64010000,63650000,53250000,52370000,51880000,51600000,51730000,51810000,52020000,50700000,50440000,
Products – Containers and Packaging,27370000,43560000,52670000,64530000,75840000,76330000,75470000,75340000,75230000,75770000,76860000,77920000,80950000,81200000,82220000,
Products – Wastes –Total,54620000,83280000,108890000,146510000,178720000,185040000,178070000,178080000,178000000,179880000,181260000,183670000,188830000,188770000,189760000,
Other Wastes -- Total,33500000,37780000,42750000,61760000,64730000,68690000,72980000,73890000,74290000,75190000,77140000,78440000,79280000,79890000,102600000,
Total MSW Generated – Weight  ,88120000,121060000,151640000,208270000,243450000,253730000,251050000,251970000,252290000,255070000,258400000,262110000,268110000,268660000,292360000,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 18. Products Generated with Detail on Nondurables in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,,
