Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Products - Durable Goods,350000,940000,1360000,3460000,6580000,7970000,9390000,9580000,9530000,9640000,9720000,9880000,10350000,10550000,10570000,
Products - Nondurable goods – Newspapers/Mechanical Papers,1820000,2250000,3020000,5110000,8720000,9360000,7070000,6630000,5870000,5390000,5200000,4790000,4490000,4180000,3270000,
Products – Nondurable goods - Directories,0,0,0,50000,120000,120000,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – books and magazines,100000,260000,280000,0,0,0,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – books,0,0,0,100000,240000,270000,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – magazines,0,0,0,300000,710000,960000,0,0,0,0,0,0,0,0,0,
Products -  Nondurable goods – Other paper nondurable goods – office-type papers,250000,710000,870000,1700000,4090000,4110000,0,0,0,0,0,0,0,0,0,
Products -  Nondurable goods – Other paper nondurable goods – marketing mail,0,0,0,200000,1830000,2090000,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – other commercial printing,130000,340000,350000,700000,810000,1440000,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – tissue paper and towels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – paper plates and cups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – other nonpackaging paper,40000,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Other paper nondurable goods – Total,520000,1420000,1500000,3000000,7680000,8870000,10650000,10610000,9570000,9060000,9710000,9330000,10200000,9910000,8810000,
Products – Nondurable goods – Disposable Diapers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Plastic Plates and Cups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Trash Bags,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Products – Nondurable goods – Clothing and Footwear,50000,60000,150000,520000,900000,1250000,1250000,1250000,1380000,1440000,1540000,1690000,1670000,1740000,1690000,
"Products – Nondurable goods – Towels, Sheets and Pillowcases",0,0,0,120000,140000,170000,220000,230000,230000,230000,230000,220000,220000,240000,240000,
Products – Nondurable goods – Other Miscellaneous Nondurables,0,0,0,0,0,0,0,110000,130000,130000,140000,160000,240000,220000,180000,
Products – Nondurable goods – Total,2390000,3730000,4670000,8800000,17560000,19770000,19190000,18830000,17180000,16250000,16820000,16190000,16820000,16290000,14190000,
Products – Containers and Packaging,2870000,3350000,8490000,16780000,28870000,31500000,36680000,38280000,38760000,39050000,39610000,41490000,41370000,40140000,44330000,
Products – Wastes –Total,5610000,8020000,14520000,29040000,53010000,59240000,65260000,66690000,65470000,64940000,66150000,67560000,68540000,66980000,69090000,
Other Wastes - Food Composted,0,0,0,0,680000,690000,970000,1270000,1740000,1840000,1940000,2100000,2150000,2570000,2590000,
Other Wastes - Yard Trimmings Composted,0,0,0,4200000,15770000,19860000,19200000,19300000,19590000,20600000,21080000,21290000,22960000,24420000,22300000,
Other Wastes - Miscellaneous Inorganics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Other Wastes -- Total,0,0,0,4200000,16450000,20550000,20170000,20570000,21330000,22440000,23020000,23390000,25110000,26990000,24890000,
Food - animal feed,,,,,,,,,,,,,,,1820000,
Food - bio-based materials/biochemical processing,,,,,,,,,,,,,,,1840000,
Food – codigestion/anaerobic digestion,,,,,,,,,,,,,,,5260000,
Food - donation,,,,,,,,,,,,,,,4790000,
Food - land application,,,,,,,,,,,,,,,260000,
Food - sewer/wastewater treatment,,,,,,,,,,,,,,,3740000,
Total Other Food Management,,,,,,,,,,,,,,,17710000,
Total MSW Recycled and Composted - Weight,5610000,8020000,14520000,33240000,69460000,79790000,85430000,87260000,86800000,87380000,89170000,90950000,93650000,93970000,93980000,
"Total MSW Recycled, Composted and Other Food Management - Weight",5610000,8020000,14520000,33240000,69460000,79790000,85430000,87260000,86800000,87380000,89170000,90950000,93650000,93970000,111690000,
"Table 19. Products Recycled, Composted and Managed By Other Food Pathways With Detail on Nondurable Goods In The Municipal Solid Waste Stream, 1960 To 2018 (in tons)",,,,,,,,,,,,,,,,
