Materials,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
Products - Paper and Paperboard,5080000,6770000,11740000,20230000,37560000,41960000,44570000,45900000,44360000,43400000,44400000,45320000,45520000,44170000,45970000
Products - Glass,100000,160000,750000,2630000,2880000,2590000,3130000,3180000,3210000,3150000,3010000,3190000,3260000,3070000,3060000
Products - Metals - Ferrous,50000,150000,370000,2230000,4680000,5020000,5800000,5500000,5590000,5870000,5970000,6070000,6170000,6170000,6360000
Products - Metals - Aluminum,0,10000,310000,1010000,860000,690000,680000,720000,710000,700000,710000,670000,620000,600000,670000
Products - Metals - OtherNonferrous,0,320000,540000,730000,1060000,1280000,1440000,1430000,1390000,1360000,1350000,1290000,1550000,1710000,1690000
Products - Metals - Total,50000,480000,1220000,3970000,6600000,6990000,7920000,7650000,7690000,7930000,8030000,8030000,8340000,8480000,8720000
Products - Plastics,0,0,20000,370000,1480000,1780000,2500000,2660000,2790000,2990000,3160000,3120000,3280000,3000000,3090000
Products - Rubber and Leather,330000,250000,130000,370000,820000,1050000,1440000,1510000,1500000,1490000,1440000,1550000,1760000,1670000,1670000
Products - Textiles,50000,60000,160000,660000,1320000,1830000,2050000,2070000,2200000,2220000,2260000,2460000,2510000,2570000,2510000
Products - Wood,0,0,0,130000,1370000,1830000,2280000,2350000,2410000,2470000,2570000,2660000,2980000,3030000,3100000
Products - Other,0,300000,500000,680000,980000,1210000,1370000,1370000,1310000,1290000,1280000,1230000,890000,990000,970000
Products - Total Materials,5610000,8020000,14520000,29040000,53010000,59240000,65260000,66690000,65470000,64940000,66150000,67560000,68540000,66980000,69090000
Other Wastes - Food Waste,0,0,0,0,680000,690000,970000,1270000,1740000,1840000,1940000,2100000,2150000,2570000,2590000
Other Wastes - Yard Trimmings,0,0,0,4200000,15770000,19860000,19200000,19300000,19590000,20600000,21080000,21290000,22960000,24420000,22300000
Other Wastes - Miscellaneous Inorganic Wastes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Wastes - Total,0,0,0,4200000,16450000,20550000,20170000,20570000,21330000,22440000,23020000,23390000,25110000,26990000,24890000
Total MSW Recycled and Composted - Weight,5610000,8020000,14520000,33240000,69460000,79790000,85430000,87260000,86800000,87380000,89170000,90950000,93650000,93970000,93980000
