Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
Products - Durable Goods,0,60000,440000,4480000,6260000,6750000,7070000,7950000,8150000,8490000,8420000,8640000,8920000,9080000,9120000
Products - Nondurable goods – Newspapers/Mechanical Papers,0,30000,160000,1420000,1180000,620000,500000,490000,490000,530000,470000,380000,350000,250000,350000
Products – Nondurable goods - Directories,0,0,0,100000,110000,100000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – books and magazines,0,10000,60000,0,0,0,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – books,0,0,0,150000,190000,150000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – magazines,0,0,0,430000,290000,290000,0,0,0,0,0,0,0,0,0
Products -  Nondurable goods – Other paper nondurable goods – office-type papers,0,10000,60000,800000,650000,460000,0,0,0,0,0,0,0,0,0
Products -  Nondurable goods – Other paper nondurable goods – marketing mail,0,0,0,620000,730000,680000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – other commercial printing,0,10000,60000,640000,1270000,910000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – tissue paper and towels,0,10000,50000,500000,620000,630000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – paper plates and cups,0,0,10000,110000,190000,210000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – other nonpackaging paper,0,10000,80000,650000,820000,820000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – Total,0,50000,320000,4000000,4870000,4250000,2310000,2350000,2480000,2550000,2380000,2360000,2160000,2080000,2280000
Products – Nondurable goods – Disposable Diapers,0,0,30000,460000,630000,620000,650000,780000,800000,810000,790000,810000,810000,810000,800000
Products – Nondurable goods – Plastic Plates and Cups,0,0,0,110000,170000,170000,160000,200000,210000,200000,200000,210000,210000,210000,200000
Products – Nondurable goods – Trash Bags,0,0,0,130000,160000,190000,170000,200000,200000,190000,200000,220000,220000,220000,240000
Products – Nondurable goods – Clothing and Footwear,0,10000,50000,590000,1080000,1210000,1390000,1610000,1760000,1820000,1890000,2010000,2160000,2160000,2210000
"Products – Nondurable goods – Towels, Sheets and Pillowcases",0,0,0,100000,130000,150000,190000,210000,210000,210000,200000,220000,230000,240000,250000
Products – Nondurable goods – Other Miscellaneous Nondurables,0,0,20000,570000,780000,770000,660000,700000,690000,690000,720000,750000,740000,750000,760000
Products – Nondurable goods – Total,0,90000,580000,7380000,9000000,7980000,6030000,6540000,6840000,7000000,6850000,6960000,6880000,6720000,7090000
Products – Containers and Packaging,0,150000,880000,8110000,9110000,8160000,6870000,7230000,7180000,7270000,7310000,7160000,7750000,8050000,7420000
Products – Wastes –Total,0,300000,1900000,19970000,24370000,22890000,19970000,21720000,22170000,22760000,22580000,22760000,23550000,23850000,23630000
Other Wastes -- Total,0,150000,860000,9790000,9360000,8760000,9340000,10390000,10430000,10440000,10610000,10790000,10620000,10370000,10920000
Total MSW Combusted – Weight,0,450000,2760000,29760000,33730000,31650000,29310000,32110000,32600000,33200000,33190000,33550000,34170000,34220000,34550000
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 20. Products Combusted with Energy Recovery with Detail on Nondurables in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,
