Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
Products - Durable Goods,9570000,13660000,20000000,21870000,26030000,30340000,32890000,32840000,33210000,34380000,34530000,35420000,36590000,37240000,37410000
Products - Nondurable goods – Newspapers/Mechanical Papers,5290000,7230000,7870000,6900000,4890000,2810000,2310000,2030000,2020000,2130000,1950000,1560000,1420000,1010000,1430000
Products – Nondurable goods - Directories,0,0,0,460000,450000,440000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – books and magazines,1820000,2200000,3050000,0,0,0,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – books,0,0,0,720000,810000,680000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – magazines,0,0,0,2100000,1230000,1330000,0,0,0,0,0,0,0,0,0
Products -  Nondurable goods – Other paper nondurable goods – office-type papers,1270000,1930000,3070000,3910000,2680000,2050000,0,0,0,0,0,0,0,0,0
Products -  Nondurable goods – Other paper nondurable goods – marketing mail,0,0,0,3000000,3010000,3060000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – other commercial printing,1130000,1780000,2710000,3120000,5300000,4090000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – tissue paper and towels,1090000,2070000,2250000,2460000,2600000,2830000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – paper plates and cups,270000,420000,620000,540000,770000,950000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – other nonpackaging paper,2660000,3510000,4150000,3190000,3430000,3670000,0,0,0,0,0,0,0,0,0
Products – Nondurable goods – Other paper nondurable goods – Total,8240000,11910000,15850000,19500000,20280000,19100000,10730000,9760000,10120000,10320000,9760000,9700000,8870000,8520000,9350000
Products – Nondurable goods – Disposable Diapers,0,350000,1900000,2240000,2600000,2790000,3050000,3200000,3260000,3270000,3210000,3360000,3370000,3340000,3300000
Products – Nondurable goods – Plastic Plates and Cups,0,0,190000,540000,700000,760000,730000,830000,850000,810000,820000,840000,860000,870000,830000
Products – Nondurable goods – Trash Bags,0,0,0,650000,690000,870000,810000,810000,820000,790000,800000,910000,900000,920000,990000
Products – Nondurable goods – Clothing and Footwear,1310000,1550000,1970000,2900000,4490000,5430000,6460000,6640000,7150000,7380000,7740000,8240000,8850000,8900000,9070000
"Products – Nondurable goods – Towels, Sheets and Pillowcases",0,0,0,490000,550000,660000,880000,870000,850000,840000,840000,910000,950000,990000,1030000
Products – Nondurable goods – Other Miscellaneous Nondurables,100000,200000,1390000,2770000,3250000,3480000,3060000,2860000,2790000,2810000,2940000,3140000,3100000,3140000,3160000
Products – Nondurable goods – Total,14940000,21240000,29170000,35990000,37450000,35900000,28030000,27000000,27860000,28350000,28060000,28660000,28320000,27690000,29160000
Products – Containers and Packaging,24500000,40060000,43300000,39640000,37860000,36670000,31920000,29830000,29290000,29450000,29940000,29270000,31830000,33010000,30470000
Products – Wastes –Total,49010000,74960000,92470000,97500000,101340000,102910000,92840000,89670000,90360000,92180000,92530000,93350000,96740000,97940000,97040000
Other Wastes -- Total,33500000,37630000,41890000,47770000,38920000,39380000,43470000,42930000,42530000,42310000,43510000,44260000,43550000,42530000,49080000
Total MSW Landfilled – Weight ,82510000,112590000,134360000,145270000,140260000,142290000,136310000,132600000,132890000,134490000,136040000,137610000,140290000,140470000,146120000
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 21. Products Landfilled with Detail on Nondurables in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,
