Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Products – Durable goods,9920000,14660000,21800000,29810000,38870000,45060000,49350000,50370000,50890000,52510000,52670000,53940000,55860000,56870000,57100000,
Products – Nondurable goods,17330000,25060000,34420000,52170000,64010000,63650000,53250000,52370000,51880000,51600000,51730000,51810000,52020000,50700000,50440000,
Products – Containers and Packaging – Glass Packaging – Beer and Soft Drink Bottles,1400000,5580000,6740000,5640000,5710000,6540000,5670000,5530000,5580000,5420000,5370000,5320000,5100000,4830000,4650000,
Products – Containers and Packaging – Glass Packaging – Wine and Liquor Bottles,1080000,1900000,2450000,2030000,1910000,1630000,1700000,1770000,1820000,1740000,1790000,1810000,1850000,1800000,1810000,
Products – Containers and Packaging – Glass Packaging – Other Bottles and Jars,3710000,4440000,4780000,4160000,3420000,2290000,1990000,2000000,2000000,2100000,2040000,1990000,3270000,3220000,3330000,
Products – Containers and Packaging – Glass Packaging – Total,6190000,11920000,13970000,11830000,11040000,10460000,9360000,9300000,9400000,9260000,9200000,9120000,10220000,9850000,9790000,
Products – Containers and Packaging – Steel Packaging – Beer and Soft Drink Cans,640000,1570000,520000,150000,0,0,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Steel Packaging – Cans,3760000,3540000,2850000,2540000,2630000,2130000,2300000,1800000,1850000,1870000,1850000,1740000,1710000,1480000,1580000,
Products – Containers and Packaging – Steel Packaging – Other Steel Packaging,260000,270000,240000,200000,240000,240000,440000,380000,380000,530000,510000,480000,430000,530000,630000,
Products – Containers and Packaging – Steel Packaging – Total,4660000,5380000,3610000,2890000,2870000,2370000,2740000,2180000,2230000,2400000,2360000,2220000,2140000,2010000,2210000,
Products – Containers and Packaging – Aluminum Packaging – Beer and Soft Drink Cans,0,100000,850000,1550000,1520000,1450000,1370000,1320000,1300000,1270000,1250000,1220000,1250000,1330000,1330000,
Products – Containers and Packaging – Aluminum Packaging – Other Cans,0,60000,40000,20000,50000,80000,70000,120000,120000,120000,130000,130000,120000,50000,80000,
Products – Containers and Packaging – Aluminum Packaging – Foil and closures,170000,410000,380000,330000,380000,400000,460000,450000,430000,410000,430000,490000,530000,500000,510000,
Products – Containers and Packaging—Aluminum Packaging – Total,170000,570000,1270000,1900000,1950000,1930000,1900000,1890000,1850000,1800000,1810000,1840000,1900000,1880000,1920000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Corrugated Boxes,7330000,12760000,17080000,24010000,30210000,30930000,29050000,29440000,29480000,30050000,30490000,31330000,31520000,32540000,33260000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg-Gable Top/Aseptic Cartons,0,0,790000,510000,550000,500000,540000,540000,550000,550000,590000,590000,600000,590000,630000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg- Folding Cartons,0,0,3820000,4300000,5820000,5530000,5470000,5540000,5490000,5370000,5410000,5380000,5300000,5330000,5370000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg- Other Paperboard Packaging,3840000,4830000,230000,290000,200000,160000,90000,80000,70000,70000,70000,70000,80000,50000,50000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Bags and Sacks,0,0,3380000,2440000,1490000,1120000,1040000,750000,960000,830000,880000,930000,1090000,1100000,1090000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Wrapping Papers,0,0,200000,110000,0,0,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Other Paper Packaging,2940000,3810000,850000,1020000,1670000,1400000,1490000,1670000,1460000,1690000,1690000,1620000,1400000,1450000,1500000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,6780000,8640000,9270000,8670000,9730000,8710000,8630000,8580000,8530000,8510000,8640000,8590000,8470000,8520000,8640000,
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,14110000,21400000,26350000,32680000,39940000,39640000,37680000,38020000,38010000,38560000,39130000,39920000,39990000,41060000,41900000,
Products – Containers and Packaging – Plastics Packaging – PET Bottles and Jars,0,0,260000,430000,1720000,2540000,2670000,2740000,2790000,2880000,2920000,2980000,3080000,2960000,3130000,
Products – Containers and Packaging – Plastics Packaging – HDPE Natural Bottles,0,0,230000,530000,690000,800000,800000,770000,780000,780000,780000,760000,770000,770000,750000,
Products – Containers and Packaging – Plastics Packaging – Other Containers,60000,910000,890000,1430000,1740000,1420000,1830000,1870000,1850000,1830000,1850000,1940000,1970000,1990000,1990000,
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",0,0,1230000,2470000,4200000,4450000,3930000,3880000,3810000,3780000,4050000,4130000,4090000,4140000,4200000,
Products – Containers and Packaging – Plastics Packaging – Other Plastics Packaging,60000,1180000,790000,2040000,2840000,3210000,4450000,4640000,4550000,4710000,4720000,4870000,4600000,4630000,4460000,
Products – Containers and Packaging – Plastics Packaging -- Total,120000,2090000,3400000,6900000,11190000,12420000,13680000,13900000,13780000,13980000,14320000,14680000,14510000,14490000,14530000,
Products – Containers and Packaging – Wood Packaging,2000000,2070000,3940000,8180000,8610000,9230000,9770000,9700000,9610000,9410000,9680000,9770000,11840000,11560000,11530000,
Products – Containers and Packaging – Other Miscellaneous Packaging,120000,130000,130000,150000,240000,280000,340000,350000,350000,360000,360000,370000,350000,350000,340000,
Products - Containers and Packaging - Total,27370000,43560000,52670000,64530000,75840000,76330000,75470000,75340000,75230000,75770000,76860000,77920000,80950000,81200000,82220000,
Products - Wastes - Total,54620000,83280000,108890000,146510000,178720000,185040000,178070000,178080000,178000000,179880000,181260000,183670000,188830000,188770000,189760000,
Other Wastes – Food Waste,12200000,12800000,13000000,23860000,30700000,32930000,35740000,36310000,36430000,37060000,38670000,39730000,40310000,40670000,63130000,
Other Wastes – Yard Trimmings,20000000,23200000,27500000,35000000,30530000,32070000,33400000,33710000,33960000,34200000,34500000,34720000,34950000,35180000,35400000,
Other Wastes – Miscellaneous Inorganic Wastes,1300000,1780000,2250000,2900000,3500000,3690000,3840000,3870000,3900000,3930000,3970000,3990000,4020000,4040000,4070000,
Other Wastes – Total,33500000,37780000,42750000,61760000,64730000,68690000,72980000,73890000,74290000,75190000,77140000,78440000,79280000,79890000,102600000,
Total MSW Generated – Weight,88120000,121060000,151640000,208270000,243450000,253730000,251050000,251970000,252290000,255070000,258400000,262110000,268110000,268660000,292360000,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 22 Products Generated with Detail on Containers and Packaging in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,,
