Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Products – Durable goods,0,60000,440000,4480000,6260000,6750000,7070000,7950000,8150000,8490000,8420000,8640000,8920000,9080000,9120000,
Products – Nondurable goods,0,90000,580000,7380000,9000000,7980000,6030000,6540000,6840000,7000000,6850000,6960000,6880000,6720000,7090000,
Products – Containers and Packaging – Glass Packaging – Beer and Soft Drink Bottles,0,20000,120000,640000,810000,830000,590000,640000,650000,630000,640000,610000,590000,580000,550000,
Products – Containers and Packaging – Glass Packaging – Wine and Liquor Bottles,0,10000,50000,310000,290000,250000,210000,230000,240000,230000,240000,230000,230000,210000,210000,
Products – Containers and Packaging – Glass Packaging – Other Bottles and Jars,0,20000,100000,620000,490000,350000,310000,330000,330000,350000,340000,330000,540000,540000,550000,
Products – Containers and Packaging – Glass Packaging – Total,0,50000,270000,1570000,1590000,1430000,1110000,1200000,1220000,1210000,1220000,1170000,1360000,1330000,1310000,
Products – Containers and Packaging – Steel Packaging – Beer and Soft Drink Cans,0,10000,10000,20000,0,0,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Steel Packaging – Cans,0,10000,50000,330000,210000,140000,130000,100000,110000,110000,110000,100000,100000,80000,90000,
Products – Containers and Packaging – Steel Packaging – Other Steel Packaging,0,0,0,20000,20000,10000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Products – Containers and Packaging – Steel Packaging – Total,0,20000,60000,370000,230000,150000,150000,120000,130000,130000,130000,120000,120000,100000,110000,
Products – Containers and Packaging – Aluminum Packaging – Beer and Soft Drink Cans,0,0,10000,100000,130000,150000,120000,120000,120000,110000,110000,110000,120000,140000,130000,
Products – Containers and Packaging – Aluminum Packaging – Other Cans,0,0,0,0,10000,10000,10000,20000,20000,20000,30000,30000,20000,10000,20000,
Products – Containers and Packaging – Aluminum Packaging – Foil and closures,0,0,10000,50000,70000,70000,80000,90000,80000,80000,80000,100000,100000,100000,100000,
Products – Containers and Packaging—Aluminum Packaging – Total,0,0,20000,150000,210000,230000,210000,230000,220000,210000,220000,240000,240000,250000,250000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Corrugated Boxes,0,40000,210000,2120000,1920000,1610000,770000,510000,530000,690000,630000,470000,460000,740000,230000,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg-Gable Top/Aseptic Cartons,0,0,20000,90000,110000,90000,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg- Folding Cartons,0,0,70000,670000,1050000,790000,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg- Other Paperboard Packaging,0,20000,0,50000,40000,30000,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Bags and Sacks,0,0,70000,380000,230000,150000,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Wrapping Papers,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Other Paper Packaging,0,10000,10000,170000,320000,250000,0,0,0,0,0,0,0,0,0,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,0,30000,170000,1380000,1750000,1310000,1150000,1310000,1260000,1220000,1260000,1240000,1330000,1420000,1340000,
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,0,70000,380000,3500000,3670000,2920000,1920000,1820000,1790000,1910000,1890000,1710000,1790000,2160000,1570000,
Products – Containers and Packaging – Plastics Packaging – PET Bottles and Jars,0,0,0,50000,260000,350000,330000,380000,380000,390000,390000,410000,430000,410000,440000,
Products – Containers and Packaging – Plastics Packaging – HDPE Natural Bottles,0,0,0,90000,90000,100000,100000,110000,110000,110000,110000,100000,110000,100000,100000,
Products – Containers and Packaging – Plastics Packaging – Other Containers,0,0,20000,240000,300000,230000,270000,310000,300000,300000,290000,310000,320000,330000,330000,
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",0,0,30000,410000,780000,770000,620000,670000,660000,650000,700000,710000,700000,740000,740000,
Products – Containers and Packaging – Plastics Packaging – Other Plastics Packaging,0,0,20000,340000,530000,570000,770000,890000,880000,920000,900000,930000,870000,890000,850000,
Products – Containers and Packaging – Plastics Packaging -- Total,0,0,70000,1130000,1960000,2020000,2090000,2360000,2330000,2370000,2390000,2460000,2430000,2470000,2460000,
Products – Containers and Packaging – Wood Packaging,0,10000,80000,1370000,1400000,1350000,1330000,1430000,1420000,1370000,1390000,1390000,1740000,1670000,1650000,
Products – Containers and Packaging – Other Miscellaneous Packaging,0,0,0,20000,50000,60000,60000,70000,70000,70000,70000,70000,70000,70000,70000,
Products - Containers and Packaging - Total,0,150000,880000,8110000,9110000,8160000,6870000,7230000,7180000,7270000,7310000,7160000,7750000,8050000,7420000,
Products - Wastes - Total,0,300000,1900000,19970000,24370000,22890000,19970000,21720000,22170000,22760000,22580000,22760000,23550000,23850000,23630000,
Other Wastes – Food Waste,0,50000,260000,4060000,5820000,5870000,6150000,6830000,6830000,6970000,7200000,7380000,7480000,7470000,7550000,
Other Wastes – Yard Trimmings,0,90000,550000,5240000,2860000,2220000,2510000,2810000,2830000,2690000,2630000,2630000,2350000,2110000,2570000,
Other Wastes – Miscellaneous Inorganic Wastes,0,10000,50000,490000,680000,670000,680000,750000,770000,780000,780000,780000,790000,790000,800000,
Other Wastes – Total,0,150000,860000,9790000,9360000,8760000,9340000,10390000,10430000,10440000,10610000,10790000,10620000,10370000,10920000,
Total MSW Combusted – Weight ,0,450000,2760000,29760000,33730000,31650000,29310000,32110000,32600000,33200000,33190000,33550000,34170000,34220000,34550000,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 26 Products Combusted with Energy Recovery with Detail on Containers and Packaging in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,,
