Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
Products – Durable goods,9570000,13660000,20000000,21870000,26030000,30340000,32890000,32840000,33210000,34380000,34530000,35420000,36590000,37240000,37410000
Products – Nondurable goods,14940000,21240000,29170000,35990000,37450000,35900000,28030000,27000000,27860000,28350000,28060000,28660000,28320000,27690000,29160000
Products – Containers and Packaging – Glass Packaging – Beer and Soft Drink Bottles,1310000,5420000,5890000,3110000,3370000,3710000,2730000,2620000,2640000,2550000,2620000,2480000,2410000,2370000,2260000
Products – Containers and Packaging – Glass Packaging – Wine and Liquor Bottles,1070000,1880000,2380000,1510000,1190000,1130000,950000,930000,960000,910000,960000,920000,950000,880000,880000
Products – Containers and Packaging – Glass Packaging – Other Bottles and Jars,3710000,4420000,4680000,3020000,2010000,1600000,1440000,1370000,1370000,1440000,1390000,1360000,2240000,2200000,2280000
Products – Containers and Packaging – Glass Packaging – Total,6090000,11720000,12950000,7640000,6570000,6440000,5120000,4920000,4970000,4900000,4970000,4760000,5600000,5450000,5420000
Products – Containers and Packaging – Steel Packaging – Beer and Soft Drink Cans,630000,1540000,460000,90000,0,0,0,0,0,0,0,0,0,0,0
Products – Containers and Packaging – Steel Packaging – Cans,3740000,3470000,2650000,1620000,890000,650000,630000,430000,430000,440000,440000,400000,400000,350000,370000
Products – Containers and Packaging – Steel Packaging – Other Steel Packaging,260000,270000,240000,120000,60000,70000,70000,60000,60000,90000,80000,80000,70000,90000,100000
Products – Containers and Packaging – Steel Packaging – Total,4630000,5280000,3350000,1830000,950000,720000,700000,490000,490000,530000,520000,480000,470000,440000,470000
Products – Containers and Packaging – Aluminum Packaging – Beer and Soft Drink Cans,0,90000,520000,460000,560000,650000,570000,480000,470000,460000,430000,440000,510000,590000,530000
Products – Containers and Packaging – Aluminum Packaging – Other Cans,0,60000,40000,20000,40000,70000,60000,100000,100000,100000,100000,100000,100000,40000,60000
Products – Containers and Packaging – Aluminum Packaging – Foil and closures,170000,410000,370000,260000,280000,290000,380000,360000,350000,330000,350000,390000,430000,400000,410000
Products – Containers and Packaging—Aluminum Packaging – Total,170000,560000,930000,740000,880000,1010000,1010000,940000,920000,890000,880000,930000,1040000,1030000,1000000
Products – Containers and Packaging – Paper & Paperboard Pkg – Corrugated Boxes,4810000,9960000,10480000,10360000,7960000,7220000,3590000,2130000,2140000,2770000,2580000,1930000,1910000,3020000,940000
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg-Gable Top/Aseptic Cartons,0,0,770000,420000,440000,410000,0,0,0,0,0,0,0,0,0
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg- Folding Cartons,0,0,3230000,3290000,4360000,3550000,0,0,0,0,0,0,0,0,0
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg- Other Paperboard Packaging,3840000,4810000,230000,240000,160000,130000,0,0,0,0,0,0,0,0,0
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Bags and Sacks,0,0,3310000,1860000,960000,650000,0,0,0,0,0,0,0,0,0
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Wrapping Papers,0,0,200000,90000,0,0,0,0,0,0,0,0,0,0,0
