Materials,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,
Products - Paper and Paperboard,0,150000,860000,8930000,9730000,7800000,4740000,4670000,4770000,4990000,4740000,4450000,4300000,4490000,4200000,,,,,,
Products - Glass,0,60000,300000,1810000,1790000,1660000,1360000,1490000,1480000,1450000,1450000,1440000,1640000,1650000,1640000,,,,,,
Products - Metals - Ferrous,0,60000,250000,1690000,1610000,1640000,1810000,2030000,2020000,2040000,2040000,2150000,2210000,2290000,2310000,,,,,,
Products - Metals - Aluminum,0,0,30000,300000,390000,410000,440000,490000,470000,460000,470000,510000,510000,550000,560000,,,,,,
Products - Metals - OtherNonferrous,0,0,20000,60000,50000,50000,60000,70000,60000,50000,50000,60000,60000,70000,80000,,,,,,
Products - Metals - Total,0,60000,300000,2050000,2050000,2100000,2310000,2590000,2550000,2550000,2560000,2720000,2780000,2910000,2950000,,,,,,
Products - Plastics,0,0,140000,2980000,4120000,4330000,4530000,5200000,5020000,4930000,5000000,5330000,5340000,5590000,5620000,,,,,,
Products - Rubber and Leather,0,10000,70000,830000,1970000,2110000,1910000,2050000,2350000,2710000,2620000,2520000,2650000,2490000,2500000,,,,,,
Products - Textiles,0,10000,50000,880000,1880000,2110000,2270000,2540000,2800000,2960000,3020000,3060000,3240000,3170000,3220000,,,,,,
Products - Wood,0,10000,150000,2080000,2290000,2270000,2310000,2550000,2550000,2500000,2540000,2570000,2930000,2880000,2840000,,,,,,
Products - Other,0,0,30000,410000,540000,510000,540000,630000,650000,670000,650000,670000,670000,670000,660000,,,,,,
Products - Total Materials,0,300000,1900000,19970000,24370000,22890000,19970000,21720000,22170000,22760000,22580000,22760000,23550000,23850000,23630000,,,,,,
Other Wastes - Food Waste,0,50000,260000,4060000,5820000,5870000,6150000,6830000,6830000,6970000,7200000,7380000,7480000,7470000,7550000,,,,,,
Other Wastes - Yard Trimmings,0,90000,550000,5240000,2860000,2220000,2510000,2810000,2830000,2690000,2630000,2630000,2350000,2110000,2570000,,,,,,
Other Wastes - Miscellaneous Inorganic Wastes,0,10000,50000,490000,680000,670000,680000,750000,770000,780000,780000,780000,790000,790000,800000,,,,,,
Other Wastes - Total,0,150000,860000,9790000,9360000,8760000,9340000,10390000,10430000,10440000,10610000,10790000,10620000,10370000,10920000,,,,,,
Total MSW Combusted - Weight,0,450000,2760000,29760000,33730000,31650000,29310000,32110000,32600000,33200000,33190000,33550000,34170000,34220000,34550000,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 3 Materials Combusted with Energy Recovery in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,,,,,,,
